Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
click,Chrome 59.0.3071.115,,2017-07-24 16:11:37,2017-07-24 16:11:37,0.145s,PASSED
waitForElementPresent,Chrome 59.0.3071.115,,2017-07-24 16:11:37,2017-07-24 16:11:39,1.608s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-24 16:11:39,2017-07-24 16:11:39,0.615s,PASSED
Statement - ProductWeightValue = ProductMemberWeight,Chrome 59.0.3071.115,,2017-07-24 16:11:39,2017-07-24 16:11:39,0.000s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-24 16:11:39,2017-07-24 16:11:40,0.274s,PASSED
Statement - ProductMemberWeight -= 1,Chrome 59.0.3071.115,,2017-07-24 16:11:40,2017-07-24 16:11:40,0.000s,PASSED
verifyElementClickable,Chrome 59.0.3071.115,,2017-07-24 16:11:40,2017-07-24 16:11:40,0.053s,PASSED
click,Chrome 59.0.3071.115,,2017-07-24 16:11:40,2017-07-24 16:12:02,21.683s,PASSED
waitForPageLoad,Chrome 59.0.3071.115,,2017-07-24 16:12:02,2017-07-24 16:12:02,0.440s,PASSED
click,Chrome 59.0.3071.115,,2017-07-24 16:12:02,2017-07-24 16:12:02,0.124s,PASSED
verifyTextPresent,Chrome 59.0.3071.115,,2017-07-24 16:12:02,2017-07-24 16:12:02,0.163s,PASSED
,,,,,,
Test Cases/My Content/Product and Services/Modal/Verify_Send_to_review/Send_to_review_Add_PandS_,Chrome 59.0.3071.115,,2017-07-24 16:12:02,2017-07-24 16:12:50,48.155s,PASSED
click,Chrome 59.0.3071.115,,2017-07-24 16:12:03,2017-07-24 16:12:05,1.922s,PASSED
click,Chrome 59.0.3071.115,,2017-07-24 16:12:05,2017-07-24 16:12:07,2.035s,PASSED
Statement - Title = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_Pages  junetest2bda/h3_Title)),Chrome 59.0.3071.115,,2017-07-24 16:12:07,2017-07-24 16:12:07,0.437s,PASSED
click,Chrome 59.0.3071.115,,2017-07-24 16:12:07,2017-07-24 16:12:07,0.101s,PASSED
waitForElementPresent,Chrome 59.0.3071.115,,2017-07-24 16:12:07,2017-07-24 16:12:09,1.876s,PASSED
verifyElementPresent,Chrome 59.0.3071.115,,2017-07-24 16:12:09,2017-07-24 16:12:09,0.155s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-24 16:12:09,2017-07-24 16:12:10,0.674s,PASSED
Statement - ProductWeightValue = ProductMemberWeight,Chrome 59.0.3071.115,,2017-07-24 16:12:10,2017-07-24 16:12:10,0.001s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-24 16:12:10,2017-07-24 16:12:10,0.192s,PASSED
Statement - ProductMemberWeight -= 1,Chrome 59.0.3071.115,,2017-07-24 16:12:10,2017-07-24 16:12:10,0.000s,PASSED
check,Chrome 59.0.3071.115,,2017-07-24 16:12:10,2017-07-24 16:12:10,0.146s,PASSED
Statement - Selected_icon = CustomKeywords.random.Rand_Icon_PS.rand_icon(81),Chrome 59.0.3071.115,Random Icon Selector\\r\\n,2017-07-24 16:12:10,2017-07-24 16:12:10,0.001s,PASSED
selectOptionByIndex,Chrome 59.0.3071.115,,2017-07-24 16:12:10,2017-07-24 16:12:11,0.583s,PASSED
Statement - Ctext = CustomKeywords.random.Rand_CkEd_Text.rand_text(CKText),Chrome 59.0.3071.115,Random Ckeditor Text Generator\\r\\n,2017-07-24 16:12:11,2017-07-24 16:12:11,0.001s,PASSED
switchToFrame,Chrome 59.0.3071.115,,2017-07-24 16:12:11,2017-07-24 16:12:11,0.056s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-24 16:12:11,2017-07-24 16:12:12,1.444s,PASSED
switchToDefaultContent,Chrome 59.0.3071.115,,2017-07-24 16:12:12,2017-07-24 16:12:12,0.011s,PASSED
verifyElementClickable,Chrome 59.0.3071.115,,2017-07-24 16:12:12,2017-07-24 16:12:12,0.049s,PASSED
click,Chrome 59.0.3071.115,,2017-07-24 16:12:12,2017-07-24 16:12:49,36.955s,PASSED
waitForPageLoad,Chrome 59.0.3071.115,,2017-07-24 16:12:49,2017-07-24 16:12:50,0.390s,PASSED
switchToFrame,Chrome 59.0.3071.115,,2017-07-24 16:12:50,2017-07-24 16:12:50,0.068s,PASSED
Statement - CapTitle = CustomKeywords.random.Capitals.makeCap(Title + AddDraftTitle[4]),Chrome 59.0.3071.115,,2017-07-24 16:12:50,2017-07-24 16:12:50,0.000s,PASSED
verifyTextPresent,Chrome 59.0.3071.115,,2017-07-24 16:12:50,2017-07-24 16:12:50,0.195s,PASSED
verifyTextPresent,Chrome 59.0.3071.115,,2017-07-24 16:12:50,2017-07-24 16:12:50,0.133s,PASSED
switchToDefaultContent,Chrome 59.0.3071.115,,2017-07-24 16:12:50,2017-07-24 16:12:50,0.018s,PASSED
click,Chrome 59.0.3071.115,,2017-07-24 16:12:50,2017-07-24 16:12:50,0.111s,PASSED
"Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyTextPresent(""Activate your"", true))",Chrome 59.0.3071.115,,2017-07-24 16:12:50,2017-07-24 16:12:50,0.152s,PASSED
,,,,,,
Test Cases/My Content/Product and Services/Modal/Verify_Send_to_review/Send_to_review_Edit_PandS_,Chrome 59.0.3071.115,,2017-07-24 16:12:51,2017-07-24 16:14:46,1m - 55.664s,FAILED
callTestCase,Chrome 59.0.3071.115,,2017-07-24 16:12:51,2017-07-24 16:13:40,48.917s,PASSED
click,Chrome 59.0.3071.115,,2017-07-24 16:13:40,2017-07-24 16:13:42,2.231s,PASSED
click,Chrome 59.0.3071.115,,2017-07-24 16:13:42,2017-07-24 16:13:45,2.601s,PASSED
Statement - Title = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_Pages  junetest2bda/h3_Title)),Chrome 59.0.3071.115,,2017-07-24 16:13:45,2017-07-24 16:13:45,0.426s,PASSED
click,Chrome 59.0.3071.115,,2017-07-24 16:13:45,2017-07-24 16:13:45,0.224s,PASSED
waitForElementPresent,Chrome 59.0.3071.115,,2017-07-24 16:13:45,2017-07-24 16:13:47,1.933s,PASSED
verifyElementPresent,Chrome 59.0.3071.115,,2017-07-24 16:13:47,2017-07-24 16:13:48,0.154s,PASSED
