Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
click,Chrome 59.0.3071.115,,2017-07-18 10:57:15,2017-07-18 10:57:15,0.222s,PASSED
verifyTextPresent,Chrome 59.0.3071.115,,2017-07-18 10:57:15,2017-07-18 10:57:15,0.154s,PASSED
click,Chrome 59.0.3071.115,,2017-07-18 10:57:15,2017-07-18 10:57:17,2.498s,PASSED
click,Chrome 59.0.3071.115,,2017-07-18 10:57:17,2017-07-18 10:57:18,0.826s,PASSED
click,Chrome 59.0.3071.115,,2017-07-18 10:57:18,2017-07-18 10:57:19,0.744s,PASSED
waitForElementNotPresent,Chrome 59.0.3071.115,,2017-07-18 10:57:19,2017-07-18 10:57:56,36.800s,PASSED
verifyElementNotPresent,Chrome 59.0.3071.115,,2017-07-18 10:57:56,2017-07-18 10:57:56,0.033s,PASSED
click,Chrome 59.0.3071.115,,2017-07-18 10:57:56,2017-07-18 10:57:56,0.280s,PASSED
verifyTextNotPresent,Chrome 59.0.3071.115,,2017-07-18 10:57:56,2017-07-18 10:57:56,0.000s,NOT_RUN
,,,,,,
Test Cases/My Content/Blogs/CloseModal_AddBlogtoDelete,Chrome 59.0.3071.115,,2017-07-18 10:57:56,2017-07-18 10:58:53,56.528s,PASSED
click,Chrome 59.0.3071.115,,2017-07-18 10:57:56,2017-07-18 10:57:59,2.700s,PASSED
click,Chrome 59.0.3071.115,,2017-07-18 10:57:59,2017-07-18 10:58:03,4.291s,PASSED
click,Chrome 59.0.3071.115,,2017-07-18 10:58:03,2017-07-18 10:58:04,0.536s,PASSED
waitForElementPresent,Chrome 59.0.3071.115,,2017-07-18 10:58:04,2017-07-18 10:58:06,2.109s,PASSED
verifyElementPresent,Chrome 59.0.3071.115,,2017-07-18 10:58:06,2017-07-18 10:58:06,0.307s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-18 10:58:06,2017-07-18 10:58:07,0.635s,PASSED
verifyElementClickable,Chrome 59.0.3071.115,,2017-07-18 10:58:07,2017-07-18 10:58:07,0.038s,PASSED
click,Chrome 59.0.3071.115,,2017-07-18 10:58:07,2017-07-18 10:58:43,35.676s,PASSED
waitForPageLoad,Chrome 59.0.3071.115,,2017-07-18 10:58:43,2017-07-18 10:58:43,0.354s,PASSED
click,Chrome 59.0.3071.115,,2017-07-18 10:58:43,2017-07-18 10:58:45,2.211s,PASSED
click,Chrome 59.0.3071.115,,2017-07-18 10:58:45,2017-07-18 10:58:48,2.507s,PASSED
click,Chrome 59.0.3071.115,,2017-07-18 10:58:48,2017-07-18 10:58:48,0.503s,PASSED
waitForElementPresent,Chrome 59.0.3071.115,,2017-07-18 10:58:48,2017-07-18 10:58:49,0.665s,PASSED
click,Chrome 59.0.3071.115,,2017-07-18 10:58:49,2017-07-18 10:58:51,2.002s,PASSED
waitForElementNotPresent,Chrome 59.0.3071.115,,2017-07-18 10:58:51,2017-07-18 10:58:51,0.373s,PASSED
click,Chrome 59.0.3071.115,,2017-07-18 10:58:51,2017-07-18 10:58:52,0.182s,PASSED
waitForElementPresent,Chrome 59.0.3071.115,,2017-07-18 10:58:52,2017-07-18 10:58:53,1.052s,PASSED
click,Chrome 59.0.3071.115,,2017-07-18 10:58:53,2017-07-18 10:58:53,0.081s,PASSED
waitForElementNotPresent,Chrome 59.0.3071.115,,2017-07-18 10:58:53,2017-07-18 10:58:53,0.018s,PASSED
,,,,,,
Test Cases/My Content/Blogs/Modal/close Modals Blog,Chrome 59.0.3071.115,,2017-07-18 10:58:53,2017-07-18 11:00:00,1m - 7.173s,FAILED
click,Chrome 59.0.3071.115,,2017-07-18 10:58:53,2017-07-18 10:59:28,35.308s,PASSED
click,Chrome 59.0.3071.115,,2017-07-18 10:59:28,2017-07-18 11:00:00,31.683s,FAILED
